59/100: train_loss=[0.5927770733833313, 0.3710457384586334], test_loss=[0.4871740377967871, 0.5217670049471191]
60/100: train_loss=[0.3643237352371216, 0.3243742883205414], test_loss=[0.4950371695847451, 0.5274968115212042]
61/100: train_loss=[0.3156435489654541, 0.5786091685295105], test_loss=[0.4877819830575321, 0.5268979404546037]
62/100: train_loss=[0.5433922410011292, 0.44674405455589294], test_loss=[0.4703269132141826, 0.5099244296927995]
63/100: train_loss=[0.520677387714386, 0.45601001381874084], test_loss=[0.4809266491026818, 0.5323060528386997]
64/100: train_loss=[0.4672422409057617, 0.526901125907898], test_loss=[0.4589932568465607, 0.5422902124214776]
65/100: train_loss=[0.48903414607048035, 0.2780415117740631], test_loss=[0.48798761691285086, 0.5246808515696586]
66/100: train_loss=[0.45626747608184814, 0.36703386902809143], test_loss=[0.47910823578698725, 0.5378009686364403]
67/100: train_loss=[0.36347201466560364, 0.4563971757888794], test_loss=[0.48256871108955973, 0.5487830269185803]
68/100: train_loss=[0.5384048819541931, 0.5042312741279602], test_loss=[0.4795478516364399, 0.5246111671381359]
69/100: train_loss=[0.47370287775993347, 0.475852370262146], test_loss=[0.4806064355976974, 0.5364667003667807]
70/100: train_loss=[0.32144895195961, 0.3870874345302582], test_loss=[0.4679649894750571, 0.5192640923623797]
71/100: train_loss=[0.36978280544281006, 0.6276870369911194], test_loss=[0.47424618687622155, 0.5306126099975803]
72/100: train_loss=[0.41868892312049866, 0.40143001079559326], test_loss=[0.4585173649218264, 0.5125576048334942]
73/100: train_loss=[0.5037156939506531, 0.45589479804039], test_loss=[0.46593526750802994, 0.5439164361244515]
74/100: train_loss=[0.3661501705646515, 0.3710764944553375], test_loss=[0.4710880959335762, 0.5331811869068991]
75/100: train_loss=[0.4535641372203827, 0.3962326943874359], test_loss=[0.46078394509003134, 0.5144761014211027]
76/100: train_loss=[0.36309778690338135, 0.4351467192173004], test_loss=[0.44177864449499527, 0.4985480900806717]
77/100: train_loss=[0.37514635920524597, 0.33580151200294495], test_loss=[0.4727988172841223, 0.5273512407571455]
78/100: train_loss=[0.33146581053733826, 0.36762735247612], test_loss=[0.4587174765765667, 0.510769831983349]
79/100: train_loss=[0.35080310702323914, 0.3718629777431488], test_loss=[0.4632236732146408, 0.49730532531496846]
80/100: train_loss=[0.40800294280052185, 0.3743800222873688], test_loss=[0.46991614549408983, 0.5032348217843454]
81/100: train_loss=[0.3859371244907379, 0.44638291001319885], test_loss=[0.4509623505269425, 0.507785526257527]
82/100: train_loss=[0.32235202193260193, 0.34807470440864563], test_loss=[0.4630433197923099, 0.5137628475321999]
83/100: train_loss=[0.4260287284851074, 0.3391667902469635], test_loss=[0.4446533294040946, 0.5138677362399765]
84/100: train_loss=[0.5124930739402771, 0.4999679625034332], test_loss=[0.45417227586613423, 0.496310961208766]
85/100: train_loss=[0.48017969727516174, 0.41534724831581116], test_loss=[0.4633095864253708, 0.5110330085588407]
86/100: train_loss=[0.3142177164554596, 0.3724130392074585], test_loss=[0.45305762114592746, 0.5213929003552545]
87/100: train_loss=[0.37404462695121765, 0.3097923994064331], test_loss=[0.4535831901468808, 0.5114254123425181]
88/100: train_loss=[0.4314958155155182, 0.3665628731250763], test_loss=[0.45701538007470627, 0.5170433438276942]
89/100: train_loss=[0.3256699740886688, 0.4543248116970062], test_loss=[0.4633325629785091, 0.5123175529739524]
90/100: train_loss=[0.5660748481750488, 0.5400741100311279], test_loss=[0.4483709129257293, 0.49410090963297254]
91/100: train_loss=[0.45261719822883606, 0.3740674555301666], test_loss=[0.44715524313947824, 0.49647378374504136]
92/100: train_loss=[0.22161179780960083, 0.3463154137134552], test_loss=[0.45898573209024685, 0.49042401094979876]
93/100: train_loss=[0.3991290330886841, 0.45420706272125244], test_loss=[0.45078037221786343, 0.5064777264112159]
94/100: train_loss=[0.30976250767707825, 0.40364935994148254], test_loss=[0.46071171006069905, 0.5143479289887827]
95/100: train_loss=[0.35168805718421936, 0.436816930770874], test_loss=[0.44319997124279603, 0.5034558061934724]
96/100: train_loss=[0.381021648645401, 0.3470546007156372], test_loss=[0.44166242312404175, 0.5048392039688328]
97/100: train_loss=[0.40739724040031433, 0.33780649304389954], test_loss=[0.4363448258630837, 0.486056605849085]
98/100: train_loss=[0.1836097091436386, 0.4533947706222534], test_loss=[0.45623335539351534, 0.5001021910317337]
99/100: train_loss=[0.5535624623298645, 0.3589369058609009], test_loss=[0.4522973489535006, 0.5009138942519321]
100/100: train_loss=[0.3491040766239166, 0.3700154721736908], test_loss=[0.45015419208550755, 0.5096921960387049]
